Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
1999-01-04,1228.0999755859375,-0.0009192786547409,0.0001734126938713,0.0,50.0,,0.0,0.0661806416300725,,2,2,
1999-01-05,1244.780029296875,0.0135819998717769,0.0001734126938713,0.0,50.0,,0.0,0.0861094325505987,,2,2,
1999-01-06,1272.3399658203125,0.0221404070396316,0.0001734126938713,0.0,50.0,,0.0,0.1261325321969684,,2,2,
1999-01-07,1269.72998046875,-0.0020513270208247,0.000171031743761,0.0,50.0,,0.0,0.1130154508035348,,2,2,
1999-01-08,1275.0899658203125,0.0042213584258157,0.000173015878314,0.0,50.0,,0.0,0.1141002026929636,,2,2,
1999-01-11,1263.8800048828125,-0.0087915058842834,0.0001742063439081,0.0,50.0,,0.0,0.090620290142641,,2,2,
1999-01-12,1239.510009765625,-0.0192818899128379,0.000173015878314,0.0,50.0,,0.0,0.0637649294029449,,2,2,
1999-01-13,1234.4000244140625,-0.004122584982213,0.0001722222282772,0.0,50.0,,0.0,0.0626867028050356,,2,2,
1999-01-14,1212.18994140625,-0.0179926138760042,0.000171031743761,0.0,50.0,,0.0,0.0817303312454711,,2,2,
1999-01-15,1243.260009765625,0.025631353056214,0.0001714285782405,0.0,50.0,,0.0,0.0656310379639869,,2,2,
1999-01-19,1252.0,0.007029897339031,0.0001698412781669,0.0,50.0,,0.0,0.0697248484148161,,2,2,
1999-01-20,1256.6199951171875,0.0036900919466353,0.0001702380937243,0.0,50.0,,0.0,0.0704902741733809,,2,2,
1999-01-21,1235.1600341796875,-0.0170775262377539,0.0001670634935772,0.0,50.0,,0.0,0.0562569535642698,,2,2,
1999-01-22,1225.18994140625,-0.0080719036380244,0.0001686507936507,0.0,50.0,,0.0,0.0602771933086578,,2,2,
1999-01-25,1233.97998046875,0.0071744296663185,0.0001702380937243,0.0,50.0,,0.0,0.0498139010907838,,2,2,
1999-01-26,1252.31005859375,0.014854437199246,0.0001726190438346,0.0,50.0,,0.0,0.0599449079257096,,2,2,
1999-01-27,1243.1700439453125,-0.0072985237048251,0.000173015878314,0.0,50.0,,0.0,0.0510253027681597,,2,2,
1999-01-28,1265.3699951171875,0.0178575338747879,0.0001734126938713,0.0,50.0,,0.0,0.0717426093671011,,2,2,
1999-01-29,1279.6400146484375,0.0112773493810625,0.000173015878314,0.0,50.0,,0.0,0.0889721391254745,,2,2,
1999-02-01,1273.0,-0.0051889707827413,0.0001749999939449,0.0,50.0,,0.0,0.0728268437653682,,2,2,
1999-02-02,1261.989990234375,-0.0086488686297132,0.0001749999939449,0.0,50.0,,0.0,0.0585355218493178,,2,2,
1999-02-03,1272.0699462890625,0.0079873502426239,0.000173015878314,0.0,50.0,,0.0,0.0656782826931238,,2,2,
1999-02-04,1248.489990234375,-0.0185366819831535,0.000173015878314,0.0,50.0,,0.0,0.0531315422211158,,2,2,
1999-02-05,1239.4000244140625,-0.0072807678807309,0.0001742063439081,0.0,50.0,,0.0,0.059960393038919,,2,2,
1999-02-08,1243.77001953125,0.0035258956197401,0.0001746031783875,0.0,50.0,,0.0,0.0483526109839302,,2,2,
1999-02-09,1216.1400146484375,-0.0222147217322585,0.0001749999939449,0.0,50.0,,0.0,0.1094744728607993,,2,2,
1999-02-10,1223.550048828125,0.0060930765293745,0.0001734126938713,0.0,50.0,,0.0,0.0676112875899392,,2,2,
1999-02-11,1254.0400390625,0.0249192832476099,0.0001742063439081,0.0,50.0,,0.0,0.0471622080175015,,2,2,
1999-02-12,1230.1300048828125,-0.0190664041297774,0.0001753968284243,0.0,50.0,,0.0,0.0554149165655768,,2,2,
1999-02-16,1241.8699951171875,0.0095436987861241,0.0001746031783875,0.0,50.0,,0.0,0.0412562746818168,,2,2,
1999-02-17,1224.030029296875,-0.0143654053084912,0.0001749999939449,0.0,50.0,,0.0,0.0642522583713691,,2,2,
1999-02-18,1237.280029296875,0.0108248978234719,0.0001749999939449,0.0,50.0,,0.0,0.0391575164770571,,2,2,
1999-02-19,1239.219970703125,0.0015679081212944,0.0001765872940184,0.0,50.0,,0.0,0.036562187382597,,2,2,
1999-02-22,1272.1400146484375,0.0265651334900889,0.0001781745940919,0.0,50.0,,0.0,0.0665679068546257,,2,2,
1999-02-23,1271.1800537109375,-0.0007546032091171,0.0001801587286449,0.0,50.0,,0.0,0.0586874707639501,,2,2,
1999-02-24,1253.4100341796875,-0.0139791522682992,0.0001801587286449,0.0,50.0,,0.0,0.042080899805358,,2,2,
1999-02-25,1245.02001953125,-0.006693750983036,0.0001785714285714,0.0,50.0,,0.0,0.0424210527835421,,2,2,
1999-02-26,1238.3299560546875,-0.0053734585561775,0.0001805555631243,0.0,50.0,,0.0,0.0497892056128742,,2,2,
1999-03-01,1236.1600341796875,-0.0017522970064565,0.0001817460287184,0.0,50.0,,0.0,0.0528405432686132,,2,2,
1999-03-02,1225.5,-0.0086235065727241,0.0001801587286449,0.0,50.0,,0.0,0.0790483177066747,,2,2,
1999-03-03,1227.699951171875,0.0017951457950835,0.0001777777785346,0.0,50.0,,0.0,0.0571587807507924,,2,2,
1999-03-04,1246.6400146484375,0.0154272739511667,0.0001777777785346,0.0,50.0,,0.0,0.0326325541506108,,2,2,
1999-03-05,1275.469970703125,0.0231261276037395,0.0001781745940919,0.0,50.0,,0.0,0.0617325984819695,,2,2,
1999-03-08,1282.72998046875,0.005692027199686,0.0001785714285714,0.0,50.0,,0.0,0.067328606819368,,2,2,
1999-03-09,1279.8399658203125,-0.0022530187119984,0.0001773809440552,0.0,50.0,,0.0,0.05596281033008,,2,2,
1999-03-10,1286.8399658203125,0.0054694338252778,0.0001773809440552,0.0,50.0,,0.0,0.0616316173939435,,2,2,
1999-03-11,1297.6800537109375,0.0084238041858724,0.0001777777785346,0.0,50.0,,0.0,0.0727490243037337,,2,2,
1999-03-12,1294.5899658203125,-0.0023812401845804,0.0001773809440552,0.0,50.0,,0.0,0.0605188024817312,,2,2,
1999-03-15,1307.260009765625,0.0097869165371478,0.0001769841284978,0.0,50.0,,0.0,0.0753939550780763,,2,2,
1999-03-16,1306.3800048828125,-0.0006731674465971,0.0001757936439816,0.0,50.0,,0.0,0.0669886237722402,,2,2,
1999-03-17,1297.8199462890625,-0.0065525027647049,0.0001746031783875,0.0,50.0,,0.0,0.0515471412595708,,2,2,
1999-03-18,1316.550048828125,0.0144319730888855,0.0001734126938713,0.0,50.0,,0.0,0.0739644880333873,,2,2,
1999-03-19,1299.2900390625,-0.0131100293384124,0.0001738095283508,0.0,50.0,,0.0,0.0490985258545132,,2,2,
1999-03-22,1297.010009765625,-0.0017548270427133,0.0001742063439081,0.0,50.0,,0.0,0.0467685667961268,,2,2,
1999-03-23,1262.1400146484375,-0.0268849082540917,0.0001738095283508,0.0,50.0,,0.0,0.0809672314152987,,2,2,
1999-03-24,1268.5899658203125,0.0051103293588798,0.0001738095283508,0.0,50.0,,0.0,0.0525063476655709,,2,2,
1999-03-25,1289.989990234375,0.0168691421110402,0.0001742063439081,0.0,50.0,,0.0,0.040482409720377,,2,2,
1999-03-26,1282.800048828125,-0.0055736412380561,0.0001742063439081,0.0,50.0,,0.0,0.0390524070395749,,2,2,
1999-03-29,1310.1700439453125,0.0213361350759151,0.0001742063439081,0.0,50.0,,0.0,0.0590451331272758,,2,2,
1999-03-30,1300.75,-0.0071899399538596,0.0001734126938713,0.0,50.0,,0.0,0.0464303875892027,,2,2,
1999-03-31,1286.3699951171875,-0.0110551642381798,0.000173015878314,0.0,50.0,,0.0,0.0456289872586264,,2,2,
